Source,Target,combined_score,from_ALS,from_FTD
NDUFA5,SDHD,0.872,YES,NO
NDUFA5,COX4I2,0.602,YES,NO
NDUFA5,UQCRQ,0.994,YES,NO
NDUFA5,NDUFB6,0.999,YES,NO
NDUFA5,ATP5MC1,0.509,YES,NO
NDUFA5,NDUFA4L2,0.794,YES,NO
NDUFA5,VDAC1,0.516,YES,NO
NDUFA5,COX7B2,0.534,YES,NO
NDUFA5,ATP5F1A,0.724,YES,NO
NDUFA5,NDUFA11,0.999,YES,NO
NDUFA5,ATP5PF,0.981,YES,NO
NDUFA5,NDUFS1,0.999,YES,NO
NDUFA5,NDUFB3,0.999,YES,NO
NDUFA5,ATP5MC2,0.459,YES,NO
NDUFA5,APAF1,0.46,YES,NO
NDUFA5,COX6B2,0.777,YES,NO
NDUFA5,COX6C,0.938,YES,NO
NDUFA5,COX7B,0.941,YES,NO
NDUFA5,COX4I1,0.962,YES,NO
NDUFA5,COX6B1,0.968,YES,NO
NDUFA5,UQCR11,0.981,YES,NO
NDUFA5,UQCRHL,0.987,YES,NO
NDUFA5,COX7C,0.989,YES,NO
NDUFA5,NDUFB1,0.998,YES,NO
NDUFA5,NDUFB2,0.998,YES,NO
NDUFA5,NDUFA3,0.999,YES,NO
NDUFA5,NDUFV1,0.999,YES,NO
NDUFA5,UQCRB,0.999,YES,NO
NDUFA5,NDUFA6,0.999,YES,NO
NDUFA5,NDUFC1,0.999,YES,NO
NDUFA5,NDUFAB1,0.999,YES,NO
NDUFA5,NDUFA13,0.999,YES,NO
NDUFA6,NDUFB4,0.999,YES,NO
NDUFA6,UQCRC1,0.987,YES,NO
NDUFA6,ATP5F1D,0.59,YES,NO
NDUFA6,NDUFB7,0.999,YES,NO
NDUFA6,COX6A1,0.827,YES,NO
NDUFA6,NDUFS7,0.999,YES,NO
NDUFA6,TARDBP,0.657,YES,NO
NDUFA6,ATP5F1E,0.809,YES,NO
NDUFA6,NDUFA2,0.999,YES,NO
NDUFA6,NDUFA10,0.999,YES,NO
NDUFA6,COX5B,0.984,YES,NO
NDUFA6,NDUFB5,0.999,YES,NO
NDUFA6,ATP5F1B,0.461,YES,NO
NDUFA6,NDUFS3,0.999,YES,NO
NDUFA6,SDHA,0.766,YES,NO
NDUFA6,NDUFA9,0.999,YES,NO
NDUFA6,UQCRC2,0.97,YES,NO
NDUFA6,NDUFB10,0.999,YES,NO
NDUFA6,NDUFS6,0.999,YES,NO
NDUFA6,NDUFB9,0.999,YES,NO
NDUFA6,NDUFC2,0.999,YES,NO
NDUFA6,ATP5MC3,0.554,YES,NO
NDUFA6,COX6A2,0.954,YES,NO
NDUFA6,ATP5PO,0.795,YES,NO
NDUFA6,COX7A1,0.882,YES,NO
NDUFA6,NDUFS4,0.999,YES,NO
NDUFA6,NDUFB8,0.999,YES,NO
NDUFA6,NDUFA7,0.999,YES,NO
NDUFA6,ATP5PD,0.947,YES,NO
NDUFA6,UQCRFS1,0.999,YES,NO
NDUFA6,KIF5B,0.474,YES,NO
NDUFA6,CYCS,0.5,YES,NO
NDUFA6,UQCRH,0.998,YES,NO
NDUFA6,NDUFS8,0.999,YES,NO
NDUFA6,CYC1,0.996,YES,NO
NDUFA6,COX5A,0.987,YES,NO
NDUFA6,COX8A,0.581,YES,NO
NDUFA6,NDUFV2,0.999,YES,NO
NDUFA6,NDUFA12,0.999,YES,NO
NDUFA6,UQCR10,0.999,YES,NO
NDUFA6,NDUFA4,0.999,YES,NO
NDUFA6,NDUFV3,0.999,YES,NO
NDUFA6,ATP5F1C,0.799,YES,NO
NDUFA6,MT-CO1,0.884,YES,NO
NDUFA6,MT-CYB,0.92,YES,NO
NDUFA6,MT-ND6,0.987,YES,NO
NDUFA6,MT-ND1,0.999,YES,NO
NDUFA6,MT-ND4L,0.998,YES,NO
NDUFA6,MT-ND5,0.999,YES,NO
NDUFA6,MT-CO2,0.81,YES,NO
NDUFA6,MT-ND4,0.999,YES,NO
NDUFA6,MT-CO3,0.861,YES,NO
NDUFA6,MT-ND2,0.999,YES,NO
NDUFA6,MT-ND3,0.999,YES,NO
NDUFA6,MT-ATP8,0.432,YES,NO
NDUFA6,SDHC,0.897,YES,NO
NDUFA6,NDUFS2,0.999,YES,NO
NDUFA6,UBQLN4,0.522,YES,NO
NDUFA6,ATP5PB,0.656,YES,NO
NDUFA6,COX7A2,0.862,YES,NO
NDUFA6,NDUFA1,0.999,YES,NO
NDUFA6,NDUFS5,0.999,YES,NO
NDUFA6,NDUFA8,0.999,YES,NO
NDUFA6,PINK1,0.684,YES,NO
NDUFA6,SDHB,0.863,YES,NO
NDUFA6,SDHD,0.93,YES,NO
NDUFA6,COX4I2,0.624,YES,NO
NDUFA6,UQCRQ,0.997,YES,NO
NDUFA6,NDUFB6,0.999,YES,NO
NDUFA6,ATP5MC1,0.486,YES,NO
NDUFA6,NDUFA4L2,0.774,YES,NO
NDUFA6,COX7B2,0.57,YES,NO
NDUFA6,ATP5F1A,0.7,YES,NO
NDUFA6,NDUFA11,0.999,YES,NO
NDUFA6,ATP5PF,0.966,YES,NO
NDUFA6,NDUFS1,0.999,YES,NO
NDUFA6,NDUFB3,0.999,YES,NO
NDUFA6,NDUFA5,0.999,YES,NO
NDUFA6,NDUFA3,0.999,YES,NO
NDUFA6,NDUFB2,0.999,YES,NO
NDUFA6,NDUFA13,0.999,YES,NO
NDUFA6,COX7C,0.988,YES,NO
NDUFA6,COX6C,0.937,YES,NO
NDUFA6,UQCRB,0.999,YES,NO
NDUFA6,NDUFC1,0.999,YES,NO
NDUFA6,COX4I1,0.949,YES,NO
NDUFA6,NDUFAB1,0.999,YES,NO
NDUFA6,COX6B1,0.971,YES,NO
NDUFA6,UQCR11,0.991,YES,NO
NDUFA6,COX6B2,0.757,YES,NO
NDUFA6,COX7B,0.964,YES,NO
NDUFA6,UQCRHL,0.978,YES,NO
NDUFA6,NDUFV1,0.999,YES,NO
NDUFA6,NDUFB1,0.999,YES,NO
NDUFA7,NDUFB4,0.999,YES,NO
NDUFA7,UQCRC1,0.95,YES,NO
NDUFA7,ATP5F1D,0.903,YES,NO
NDUFA7,NDUFB7,0.999,YES,NO
NDUFA7,COX6A1,0.698,YES,NO
NDUFA7,NDUFS7,0.999,YES,NO
NDUFA7,TARDBP,0.657,YES,NO
NDUFA7,ATP5F1E,0.795,YES,NO
NDUFA7,NDUFA2,0.999,YES,NO
NDUFA7,NDUFA10,0.999,YES,NO
NDUFA7,COX5B,0.982,YES,NO
NDUFA7,NDUFB5,0.999,YES,NO
NDUFA7,ATP5F1B,0.446,YES,NO
NDUFA7,NDUFS3,0.999,YES,NO
NDUFA7,NDUFA9,0.999,YES,NO
NDUFA7,UQCRC2,0.944,YES,NO
NDUFA7,NDUFB10,0.999,YES,NO
NDUFA7,NDUFS6,0.999,YES,NO
NDUFA7,NDUFB9,0.999,YES,NO
NDUFA7,NDUFC2,0.999,YES,NO
NDUFA7,ATP5MC3,0.445,YES,NO
NDUFA7,COX6A2,0.912,YES,NO
NDUFA7,ATP5PO,0.462,YES,NO
NDUFA7,COX7A1,0.862,YES,NO
NDUFA7,NDUFS4,0.999,YES,NO
NDUFA7,NDUFB8,0.999,YES,NO
NDUFA7,ATP5MC2,0.462,YES,NO
NDUFA7,SDHC,0.477,YES,NO
NDUFA7,COX6B2,0.513,YES,NO
NDUFA7,SDHD,0.527,YES,NO
NDUFA7,COX8A,0.528,YES,NO
NDUFA7,ATP5PB,0.552,YES,NO
NDUFA7,ATP5MC1,0.553,YES,NO
NDUFA7,COX4I2,0.573,YES,NO
NDUFA7,SDHB,0.591,YES,NO
NDUFA7,MT-CO2,0.602,YES,NO
NDUFA7,UQCRHL,0.642,YES,NO
NDUFA7,COX7A2,0.647,YES,NO
NDUFA7,PINK1,0.687,YES,NO
NDUFA7,ATP5F1C,0.69,YES,NO
NDUFA7,NDUFA4L2,0.804,YES,NO
NDUFA7,MT-CO3,0.84,YES,NO
NDUFA7,MT-CO1,0.85,YES,NO
NDUFA7,MT-CYB,0.857,YES,NO
NDUFA7,COX6C,0.903,YES,NO
NDUFA7,ATP5PD,0.913,YES,NO
NDUFA7,ATP5PF,0.913,YES,NO
NDUFA7,COX4I1,0.926,YES,NO
NDUFA7,UQCRFS1,0.929,YES,NO
NDUFA7,CYC1,0.936,YES,NO
NDUFA7,COX7B,0.936,YES,NO
NDUFA7,COX6B1,0.955,YES,NO
NDUFA7,UQCRB,0.957,YES,NO
NDUFA7,COX5A,0.959,YES,NO
NDUFA7,UQCRH,0.971,YES,NO
NDUFA7,UQCRQ,0.977,YES,NO
NDUFA7,COX7C,0.979,YES,NO
NDUFA7,MT-ND4L,0.982,YES,NO
NDUFA7,MT-ND6,0.984,YES,NO
NDUFA7,UQCR11,0.989,YES,NO
NDUFA7,UQCR10,0.992,YES,NO
NDUFA7,NDUFA4,0.993,YES,NO
NDUFA7,MT-ND3,0.997,YES,NO
NDUFA7,MT-ND2,0.998,YES,NO
NDUFA7,MT-ND1,0.998,YES,NO
NDUFA7,NDUFB1,0.998,YES,NO
NDUFA7,MT-ND4,0.998,YES,NO
NDUFA7,MT-ND5,0.998,YES,NO
NDUFA7,NDUFV1,0.999,YES,NO
NDUFA7,NDUFA3,0.999,YES,NO
NDUFA7,NDUFA11,0.999,YES,NO
NDUFA7,NDUFA1,0.999,YES,NO
NDUFA7,NDUFB6,0.999,YES,NO
NDUFA7,NDUFS8,0.999,YES,NO
NDUFA7,NDUFA8,0.999,YES,NO
NDUFA7,NDUFS5,0.999,YES,NO
NDUFA7,NDUFS2,0.999,YES,NO
NDUFA7,NDUFV3,0.999,YES,NO
NDUFA7,NDUFA13,0.999,YES,NO
NDUFA7,NDUFB3,0.999,YES,NO
NDUFA7,NDUFAB1,0.999,YES,NO
NDUFA7,NDUFS1,0.999,YES,NO
NDUFA7,NDUFV2,0.999,YES,NO
NDUFA7,NDUFC1,0.999,YES,NO
NDUFA7,NDUFA5,0.999,YES,NO
NDUFA7,NDUFA6,0.999,YES,NO
NDUFA7,NDUFB2,0.999,YES,NO
NDUFA7,NDUFA12,0.999,YES,NO
NDUFA8,NDUFB4,0.999,YES,NO
NDUFA8,UQCRC1,0.992,YES,NO
NDUFA8,ATP5F1D,0.855,YES,NO
NDUFA8,NDUFB7,0.999,YES,NO
NDUFA8,COX6A1,0.83,YES,NO
NDUFA8,NDUFS7,0.999,YES,NO
NDUFA8,TARDBP,0.654,YES,NO
NDUFA8,ATP5F1E,0.547,YES,NO
NDUFA8,NDUFA2,0.999,YES,NO
NDUFA8,NDUFA10,0.999,YES,NO
NDUFA8,COX5B,0.992,YES,NO
NDUFA8,NDUFB5,0.999,YES,NO
NDUFA8,ATP5F1B,0.543,YES,NO
NDUFA8,NDUFS3,0.999,YES,NO
NDUFA8,SDHA,0.813,YES,NO
NDUFA8,NDUFA9,0.999,YES,NO
NDUFA8,UQCRC2,0.988,YES,NO
NDUFA8,NDUFB10,0.999,YES,NO
NDUFA8,PSMB6,0.427,YES,NO
NDUFA8,NDUFS6,0.999,YES,NO
NDUFA8,NDUFB9,0.999,YES,NO
NDUFA8,NDUFC2,0.999,YES,NO
NDUFA8,ATP5MC3,0.621,YES,NO
NDUFA8,COX6A2,0.954,YES,NO
NDUFA8,ATP5PO,0.852,YES,NO
NDUFA8,COX7A1,0.883,YES,NO
NDUFA8,NDUFS4,0.999,YES,NO
NDUFA8,NDUFB8,0.999,YES,NO
NDUFA8,NDUFA7,0.999,YES,NO
NDUFA8,ATP5PD,0.97,YES,NO
NDUFA8,UQCRFS1,0.997,YES,NO
NDUFA8,CYCS,0.616,YES,NO
NDUFA8,UQCRH,0.996,YES,NO
NDUFA8,NDUFS8,0.999,YES,NO
NDUFA8,CYC1,0.998,YES,NO
NDUFA8,COX5A,0.989,YES,NO
NDUFA8,COX8A,0.612,YES,NO
NDUFA8,NDUFV2,0.999,YES,NO
NDUFA8,NDUFA12,0.999,YES,NO
NDUFA8,UQCR10,0.999,YES,NO
NDUFA8,NDUFA4,0.989,YES,NO
NDUFA8,NDUFV3,0.999,YES,NO
NDUFA8,ATP5F1C,0.869,YES,NO
NDUFA8,MT-CO1,0.888,YES,NO
NDUFA8,MT-CYB,0.932,YES,NO
NDUFA8,MT-ND6,0.992,YES,NO
NDUFA8,MT-ND1,0.999,YES,NO
NDUFA8,MT-ND4L,0.998,YES,NO
NDUFA8,MT-ND5,0.999,YES,NO
NDUFA8,MT-CO2,0.8,YES,NO
NDUFA8,MT-ND4,0.999,YES,NO
NDUFA8,MT-CO3,0.901,YES,NO
NDUFA8,MT-ND2,0.999,YES,NO
NDUFA8,MT-ND3,0.999,YES,NO
NDUFA8,SDHC,0.914,YES,NO
NDUFA8,NDUFS2,0.999,YES,NO
NDUFA8,ATP5PB,0.771,YES,NO
NDUFA8,COX7A2,0.758,YES,NO
NDUFA8,NDUFA1,0.999,YES,NO
NDUFA8,NDUFS5,0.999,YES,NO
NDUFA8,ACTG1,0.402,YES,NO
NDUFA8,PSMC6,0.405,YES,NO
NDUFA8,COX7B2,0.458,YES,NO
NDUFA8,VDAC1,0.513,YES,NO
NDUFA8,ATP5MC2,0.517,YES,NO
NDUFA8,ATP5F1A,0.649,YES,NO
NDUFA8,NDUFA4L2,0.663,YES,NO
NDUFA8,ATP5PF,0.693,YES,NO
NDUFA8,PINK1,0.712,YES,NO
NDUFA8,COX6B2,0.715,YES,NO
NDUFA8,COX4I2,0.81,YES,NO
NDUFA8,ATP5MC1,0.817,YES,NO
NDUFA8,COX6C,0.842,YES,NO
NDUFA8,COX7B,0.913,YES,NO
NDUFA8,COX7C,0.947,YES,NO
NDUFA8,SDHD,0.951,YES,NO
NDUFA8,SDHB,0.952,YES,NO
NDUFA8,UQCRHL,0.961,YES,NO
NDUFA8,COX6B1,0.971,YES,NO
NDUFA8,COX4I1,0.981,YES,NO
NDUFA8,UQCR11,0.983,YES,NO
NDUFA8,UQCRQ,0.995,YES,NO
NDUFA8,NDUFB2,0.997,YES,NO
NDUFA8,NDUFC1,0.998,YES,NO
NDUFA8,NDUFV1,0.999,YES,NO
NDUFA8,NDUFA3,0.999,YES,NO
NDUFA8,NDUFA11,0.999,YES,NO
NDUFA8,NDUFB1,0.999,YES,NO
NDUFA8,NDUFB6,0.999,YES,NO
NDUFA8,NDUFA13,0.999,YES,NO
NDUFA8,NDUFB3,0.999,YES,NO
NDUFA8,NDUFS1,0.999,YES,NO
NDUFA8,NDUFAB1,0.999,YES,NO
NDUFA8,NDUFA5,0.999,YES,NO
NDUFA8,NDUFA6,0.999,YES,NO
NDUFA8,UQCRB,0.999,YES,NO
NDUFA9,NDUFB4,0.999,YES,NO
NDUFA9,UQCRC1,0.998,YES,NO
NDUFA9,ATP5F1D,0.761,YES,NO
NDUFA9,NDUFB7,0.999,YES,NO
NDUFA9,COX6A1,0.638,YES,NO
NDUFA9,NDUFS7,0.999,YES,NO
NDUFA9,TARDBP,0.652,YES,NO
NDUFA9,NDUFA2,0.999,YES,NO
NDUFA9,NDUFA10,0.999,YES,NO
NDUFA9,COX5B,0.987,YES,NO
NDUFA9,NDUFB5,0.999,YES,NO
NDUFA9,ATP5F1B,0.95,YES,NO
NDUFA9,NDUFS3,0.999,YES,NO
NDUFA9,SDHA,0.982,YES,NO
NDUFA9,ACTB,0.406,YES,NO
NDUFA9,ATP5MC2,0.426,YES,NO
NDUFA9,TOMM40,0.429,YES,NO
NDUFA9,MT-ATP6,0.505,YES,NO
NDUFA9,COX6B2,0.506,YES,NO
NDUFA9,COX7A2L,0.519,YES,NO
NDUFA9,COX7A2,0.562,YES,NO
NDUFA9,NDUFA4L2,0.601,YES,NO
NDUFA9,ATP5PF,0.602,YES,NO
NDUFA9,ATP5MC3,0.629,YES,NO
NDUFA9,CYCS,0.664,YES,NO
NDUFA9,ATP5MC1,0.697,YES,NO
NDUFA9,MCU,0.711,YES,NO
NDUFA9,PINK1,0.737,YES,NO
NDUFA9,VDAC1,0.77,YES,NO
NDUFA9,ATP5PO,0.783,YES,NO
NDUFA9,UQCRHL,0.783,YES,NO
NDUFA9,COX6C,0.802,YES,NO
NDUFA9,ATP5PD,0.836,YES,NO
NDUFA9,ATP5PB,0.853,YES,NO
NDUFA9,MT-CO2,0.885,YES,NO
NDUFA9,SDHD,0.887,YES,NO
NDUFA9,COX7B,0.888,YES,NO
NDUFA9,SDHC,0.902,YES,NO
NDUFA9,COX4I2,0.907,YES,NO
NDUFA9,COX7A1,0.92,YES,NO
NDUFA9,COX6B1,0.931,YES,NO
NDUFA9,ATP5F1C,0.934,YES,NO
NDUFA9,COX6A2,0.938,YES,NO
NDUFA9,UQCR11,0.939,YES,NO
NDUFA9,MT-CO3,0.94,YES,NO
NDUFA9,COX7C,0.946,YES,NO
NDUFA9,ATP5F1A,0.947,YES,NO
NDUFA9,SDHB,0.965,YES,NO
NDUFA9,UQCRH,0.971,YES,NO
NDUFA9,MT-CYB,0.981,YES,NO
NDUFA9,MT-CO1,0.984,YES,NO
NDUFA9,UQCRQ,0.985,YES,NO
NDUFA9,NDUFA4,0.988,YES,NO
NDUFA9,UQCRB,0.989,YES,NO
NDUFA9,COX5A,0.991,YES,NO
NDUFA9,MT-ND4L,0.993,YES,NO
NDUFA9,NDUFC1,0.993,YES,NO
NDUFA9,COX4I1,0.995,YES,NO
NDUFA9,NDUFB2,0.995,YES,NO
NDUFA9,MT-ND6,0.995,YES,NO
NDUFA9,UQCRC2,0.997,YES,NO
NDUFA9,CYC1,0.998,YES,NO
NDUFA9,NDUFA1,0.998,YES,NO
NDUFA9,NDUFV3,0.999,YES,NO
NDUFA9,NDUFB10,0.999,YES,NO
NDUFA9,NDUFS2,0.999,YES,NO
NDUFA9,NDUFS5,0.999,YES,NO
NDUFA9,UQCR10,0.999,YES,NO
NDUFA9,NDUFA8,0.999,YES,NO
NDUFA9,NDUFS8,0.999,YES,NO
NDUFA9,NDUFB6,0.999,YES,NO
NDUFA9,NDUFB1,0.999,YES,NO
NDUFA9,NDUFA7,0.999,YES,NO
NDUFA9,NDUFS4,0.999,YES,NO
NDUFA9,NDUFA11,0.999,YES,NO
NDUFA9,NDUFB9,0.999,YES,NO
NDUFA9,NDUFA3,0.999,YES,NO
NDUFA9,MT-ND1,0.999,YES,NO
NDUFA9,NDUFV1,0.999,YES,NO
NDUFA9,MT-ND2,0.999,YES,NO
NDUFA9,UQCRFS1,0.999,YES,NO
NDUFA9,NDUFA12,0.999,YES,NO
NDUFA9,NDUFB8,0.999,YES,NO
NDUFA9,NDUFS6,0.999,YES,NO
NDUFA9,NDUFA6,0.999,YES,NO
NDUFA9,NDUFA5,0.999,YES,NO
NDUFA9,MT-ND5,0.999,YES,NO
NDUFA9,NDUFV2,0.999,YES,NO
NDUFA9,NDUFAB1,0.999,YES,NO
NDUFA9,NDUFS1,0.999,YES,NO
NDUFA9,NDUFB3,0.999,YES,NO
NDUFA9,NDUFC2,0.999,YES,NO
NDUFA9,NDUFA13,0.999,YES,NO
NDUFA9,MT-ND4,0.999,YES,NO
NDUFA9,MT-ND3,0.999,YES,NO
NDUFAB1,NDUFB4,0.999,YES,NO
NDUFAB1,UQCRC1,0.983,YES,NO
NDUFAB1,ATP5F1D,0.924,YES,NO
NDUFAB1,NDUFB7,0.999,YES,NO
NDUFAB1,COX6A1,0.69,YES,NO
NDUFAB1,NDUFS7,0.999,YES,NO
NDUFAB1,TARDBP,0.655,YES,NO
NDUFAB1,ATP5F1E,0.596,YES,NO
NDUFAB1,NDUFA2,0.999,YES,NO
NDUFAB1,NDUFA10,0.999,YES,NO
NDUFAB1,COX5B,0.944,YES,NO
NDUFAB1,NDUFB5,0.999,YES,NO
NDUFAB1,ATP5F1B,0.677,YES,NO
NDUFAB1,NDUFS3,0.999,YES,NO
NDUFAB1,SDHA,0.637,YES,NO
NDUFAB1,NDUFA9,0.999,YES,NO
NDUFAB1,UQCRC2,0.971,YES,NO
NDUFAB1,NDUFB10,0.999,YES,NO
NDUFAB1,SOD1,0.437,YES,NO
NDUFAB1,PSMA5,0.459,YES,NO
NDUFAB1,NDUFS6,0.999,YES,NO
NDUFAB1,NDUFB9,0.999,YES,NO
NDUFAB1,NDUFC2,0.999,YES,NO
NDUFAB1,ATP5MC3,0.752,YES,NO
NDUFAB1,COX6A2,0.926,YES,NO
NDUFAB1,ATP5PO,0.762,YES,NO
NDUFAB1,COX7A1,0.888,YES,NO
NDUFAB1,NDUFS4,0.999,YES,NO
NDUFAB1,NDUFB8,0.999,YES,NO
NDUFAB1,DCTN5,0.55,YES,NO
NDUFAB1,NDUFA7,0.999,YES,NO
NDUFAB1,ATP5PD,0.738,YES,NO
NDUFAB1,UQCRFS1,0.995,YES,NO
NDUFAB1,CYCS,0.559,YES,NO
NDUFAB1,UQCRH,0.976,YES,NO
NDUFAB1,NDUFS8,0.999,YES,NO
NDUFAB1,CYC1,0.985,YES,NO
NDUFAB1,COX5A,0.986,YES,NO
NDUFAB1,COX8A,0.661,YES,NO
NDUFAB1,NDUFV2,0.999,YES,NO
NDUFAB1,NDUFA12,0.999,YES,NO
NDUFAB1,UQCR10,0.981,YES,NO
NDUFAB1,NDUFA4,0.99,YES,NO
NDUFAB1,NDUFV3,0.999,YES,NO
NDUFAB1,ATP5F1C,0.889,YES,NO
NDUFAB1,MT-CO1,0.891,YES,NO
NDUFAB1,MT-CYB,0.925,YES,NO
NDUFAB1,MT-ND6,0.998,YES,NO
NDUFAB1,MT-ND1,0.999,YES,NO
NDUFAB1,MT-ND4L,0.999,YES,NO
NDUFAB1,MT-ND5,0.999,YES,NO
NDUFAB1,MT-CO2,0.793,YES,NO
NDUFAB1,MT-ND4,0.999,YES,NO
NDUFAB1,MT-CO3,0.869,YES,NO
NDUFAB1,MT-ND2,0.999,YES,NO
NDUFAB1,MT-ND3,0.999,YES,NO
NDUFAB1,SDHC,0.504,YES,NO
NDUFAB1,NDUFS2,0.999,YES,NO
NDUFAB1,ATP5PB,0.805,YES,NO
NDUFAB1,COX7A2,0.801,YES,NO
NDUFAB1,NDUFA1,0.999,YES,NO
NDUFAB1,NDUFS5,0.999,YES,NO
NDUFAB1,NDUFA8,0.999,YES,NO
NDUFAB1,PINK1,0.65,YES,NO
NDUFAB1,SDHB,0.651,YES,NO
NDUFAB1,SDHD,0.588,YES,NO
NDUFAB1,COX4I2,0.603,YES,NO
NDUFAB1,UQCRQ,0.972,YES,NO
NDUFAB1,NDUFB6,0.999,YES,NO
NDUFAB1,ATP5MC1,0.814,YES,NO
NDUFAB1,NDUFA4L2,0.552,YES,NO
NDUFAB1,COX7B2,0.474,YES,NO
NDUFAB1,ATP5F1A,0.767,YES,NO
NDUFAB1,PSMD14,0.51,YES,NO
NDUFAB1,NDUFA11,0.999,YES,NO
NDUFAB1,ATP5PF,0.799,YES,NO
NDUFAB1,NDUFS1,0.999,YES,NO
NDUFAB1,NDUFB3,0.999,YES,NO
NDUFAB1,NDUFA5,0.999,YES,NO
NDUFAB1,NDUFA3,0.999,YES,NO
NDUFAB1,NDUFB2,0.999,YES,NO
NDUFAB1,NDUFA13,0.999,YES,NO
NDUFAB1,COX7C,0.928,YES,NO
NDUFAB1,COX6C,0.813,YES,NO
NDUFAB1,UQCRB,0.975,YES,NO
NDUFAB1,NDUFC1,0.999,YES,NO
NDUFAB1,COX4I1,0.936,YES,NO
NDUFAB1,ATP5MC2,0.538,YES,NO
NDUFAB1,COX6B2,0.572,YES,NO
NDUFAB1,UQCRHL,0.704,YES,NO
NDUFAB1,COX7B,0.924,YES,NO
NDUFAB1,UQCR11,0.929,YES,NO
NDUFAB1,COX6B1,0.951,YES,NO
NDUFAB1,NDUFA6,0.999,YES,NO
NDUFAB1,NDUFV1,0.999,YES,NO
NDUFAB1,NDUFB1,0.999,YES,NO
NDUFB1,NDUFB4,0.999,YES,NO
NDUFB1,UQCRC1,0.893,YES,NO
NDUFB1,NDUFB7,0.998,YES,NO
NDUFB1,COX6A1,0.52,YES,NO
NDUFB1,NDUFS7,0.996,YES,NO
NDUFB1,TARDBP,0.657,YES,NO
NDUFB1,NDUFA2,0.999,YES,NO
NDUFB1,NDUFA10,0.995,YES,NO
NDUFB1,COX5B,0.951,YES,NO
NDUFB1,NDUFB5,0.999,YES,NO
NDUFB1,NDUFS3,0.998,YES,NO
NDUFB1,SDHA,0.406,YES,NO
NDUFB1,NDUFA9,0.999,YES,NO
NDUFB1,UQCRC2,0.902,YES,NO
NDUFB1,NDUFB10,0.999,YES,NO
NDUFB1,NDUFS6,0.998,YES,NO
NDUFB1,NDUFB9,0.998,YES,NO
NDUFB1,NDUFC2,0.999,YES,NO
NDUFB1,ATP5MC3,0.472,YES,NO
NDUFB1,COX6A2,0.897,YES,NO
NDUFB1,ATP5PO,0.453,YES,NO
NDUFB1,COX7A1,0.857,YES,NO
NDUFB1,NDUFS4,0.996,YES,NO
NDUFB1,NDUFB8,0.995,YES,NO
NDUFB1,NDUFA7,0.998,YES,NO
NDUFB1,ATP5PD,0.609,YES,NO
NDUFB1,UQCRFS1,0.925,YES,NO
NDUFB1,CYCS,0.539,YES,NO
NDUFB1,UQCRH,0.934,YES,NO
NDUFB1,NDUFS8,0.995,YES,NO
NDUFB1,CYC1,0.903,YES,NO
NDUFB1,COX5A,0.916,YES,NO
NDUFB1,NDUFV2,0.998,YES,NO
NDUFB1,NDUFA12,0.997,YES,NO
NDUFB1,UQCR10,0.966,YES,NO
NDUFB1,NDUFA4,0.984,YES,NO
NDUFB1,NDUFV3,0.997,YES,NO
NDUFB1,ATP5F1C,0.425,YES,NO
NDUFB1,MT-CO1,0.864,YES,NO
NDUFB1,MT-CYB,0.865,YES,NO
NDUFB1,MT-ND6,0.976,YES,NO
NDUFB1,MT-ND1,0.988,YES,NO
NDUFB1,MT-ND4L,0.96,YES,NO
NDUFB1,MT-ND5,0.992,YES,NO
NDUFB1,MT-CO2,0.79,YES,NO
NDUFB1,MT-ND4,0.999,YES,NO
NDUFB1,MT-CO3,0.85,YES,NO
NDUFB1,MT-ND2,0.997,YES,NO
NDUFB1,MT-ND3,0.991,YES,NO
NDUFB1,NDUFS2,0.996,YES,NO
NDUFB1,ATP5PB,0.447,YES,NO
NDUFB1,COX7A2,0.651,YES,NO
NDUFB1,NDUFA1,0.999,YES,NO
NDUFB1,NDUFS5,0.998,YES,NO
NDUFB1,NDUFA8,0.999,YES,NO
NDUFB1,PINK1,0.65,YES,NO
NDUFB1,SDHB,0.626,YES,NO
NDUFB1,UQCRQ,0.94,YES,NO
NDUFB1,NDUFB6,0.999,YES,NO
NDUFB1,ATP5MC1,0.57,YES,NO
NDUFB1,COX7B2,0.521,YES,NO
NDUFB1,NDUFA11,0.997,YES,NO
NDUFB1,ATP5PF,0.683,YES,NO
NDUFB1,NDUFS1,0.996,YES,NO
NDUFB1,NDUFB3,0.999,YES,NO
NDUFB1,NDUFA5,0.998,YES,NO
NDUFB1,NDUFA3,0.996,YES,NO
NDUFB1,NDUFB2,0.998,YES,NO
NDUFB1,NDUFA13,0.998,YES,NO
NDUFB1,COX7C,0.953,YES,NO
NDUFB1,COX6C,0.83,YES,NO
NDUFB1,UQCRB,0.96,YES,NO
NDUFB1,NDUFC1,0.995,YES,NO
NDUFB1,COX4I1,0.921,YES,NO
NDUFB1,NDUFAB1,0.999,YES,NO
NDUFB1,COX6B1,0.944,YES,NO
NDUFB1,UQCR11,0.961,YES,NO
NDUFB1,NDUFA6,0.999,YES,NO
NDUFB1,ATP5MC2,0.409,YES,NO
NDUFB1,COX7B,0.956,YES,NO
NDUFB1,NDUFV1,0.995,YES,NO
NDUFB10,NDUFB4,0.999,YES,NO
NDUFB10,UQCRC1,0.986,YES,NO
NDUFB10,ATP5F1D,0.925,YES,NO
