Source,Target,combined_score,from_ALS,from_FTD
GRN,APP,0.601,NO,YES
GRN,PSEN2,0.615,NO,YES
GRN,UBQLN2,0.615,NO,YES
GRN,PSEN1,0.649,NO,YES
GRN,VCP,0.762,NO,YES
GRN,CHMP2B,0.823,NO,YES
GRN,MAPT,0.885,NO,YES
GRN,C9orf72,0.887,NO,YES
GRN,TARDBP,0.958,NO,YES
HNRNPA1,TARDBP,0.997,NO,YES
HNRNPA1,TUBA4A,0.429,NO,YES
HNRNPA1,CHMP2B,0.483,NO,YES
HNRNPA1,APP,0.538,NO,YES
HNRNPA1,TBK1,0.406,NO,YES
HNRNPA1,MAPT,0.667,NO,YES
HNRNPA1,SQSTM1,0.459,NO,YES
HNRNPA1,CHCHD10,0.507,NO,YES
HNRNPA1,DCTN1,0.636,NO,YES
HNRNPA1,VCP,0.692,NO,YES
HNRNPA1,TIA1,0.716,NO,YES
HNRNPA1,C9orf72,0.808,NO,YES
HNRNPA1,UBQLN2,0.852,NO,YES
HNRNPA1,HNRNPA2B1,0.998,NO,YES
HNRNPA2B1,GRN,0.525,NO,YES
HNRNPA2B1,TARDBP,0.998,NO,YES
HNRNPA2B1,CHMP2B,0.441,NO,YES
HNRNPA2B1,APP,0.507,NO,YES
HNRNPA2B1,TBK1,0.77,NO,YES
HNRNPA2B1,MAPT,0.589,NO,YES
HNRNPA2B1,HNRNPA1,0.998,NO,YES
HNRNPA2B1,UBQLN2,0.657,NO,YES
HNRNPA2B1,SQSTM1,0.512,NO,YES
HNRNPA2B1,C9orf72,0.623,NO,YES
HNRNPA2B1,VCP,0.679,NO,YES
HNRNPA2B1,TIA1,0.716,NO,YES
MAPT,GRN,0.885,NO,YES
MAPT,TARDBP,0.97,NO,YES
MAPT,TUBA4A,0.981,NO,YES
MAPT,SORL1,0.6,NO,YES
MAPT,CHMP2B,0.745,NO,YES
MAPT,APP,0.995,NO,YES
MAPT,PSEN1,0.95,NO,YES
MAPT,TBK1,0.452,NO,YES
MAPT,PLA2G6,0.451,NO,YES
MAPT,CHCHD10,0.472,NO,YES
MAPT,HNRNPA2B1,0.589,NO,YES
MAPT,UBQLN2,0.653,NO,YES
MAPT,HNRNPA1,0.667,NO,YES
MAPT,VCP,0.713,NO,YES
MAPT,DCTN1,0.817,NO,YES
