Species A,Gene A,Species B,Gene B,Score
Homo sapiens,HSP90B1,Homo sapiens,COX5A,1.546553974
Homo sapiens,MGST3,Homo sapiens,COX5A,1.487573558
Homo sapiens,COX2,Homo sapiens,COX5A,1.621603737
Homo sapiens,NDUFS3,Homo sapiens,COX5A,1.523320412
Homo sapiens,PDHA1,Homo sapiens,COX5A,1.587830507
Homo sapiens,PDHB,Homo sapiens,COX5A,1.665857906
Homo sapiens,DOCK8,Homo sapiens,COX5A,8.250784664
Homo sapiens,ACAD9,Homo sapiens,COX5A,1.0
Homo sapiens,AUH,Homo sapiens,COX5A,1.0
Homo sapiens,C12orf65,Homo sapiens,COX5A,0.98
Homo sapiens,C17orf80,Homo sapiens,COX5A,0.99
Homo sapiens,C1QBP,Homo sapiens,COX5A,1.0
Homo sapiens,C21orf33,Homo sapiens,COX5A,1.0
Homo sapiens,MCUR1,Homo sapiens,COX5A,0.98
Homo sapiens,CCDC90B,Homo sapiens,COX5A,1.0
Homo sapiens,COX15,Homo sapiens,COX5A,1.0
Homo sapiens,CS,Homo sapiens,COX5A,1.0
Homo sapiens,DIABLO,Homo sapiens,COX5A,1.0
Homo sapiens,HINT2,Homo sapiens,COX5A,1.0
Homo sapiens,LONP1,Homo sapiens,COX5A,1.0
Homo sapiens,LRPPRC,Homo sapiens,COX5A,1.0
Homo sapiens,MCU,Homo sapiens,COX5A,1.0
Homo sapiens,CCDC109B,Homo sapiens,COX5A,1.0
Homo sapiens,MDH2,Homo sapiens,COX5A,1.0
Homo sapiens,METTL17,Homo sapiens,COX5A,1.0
Homo sapiens,APOO,Homo sapiens,COX5A,1.0
Homo sapiens,MRPL11,Homo sapiens,COX5A,0.99
Homo sapiens,MRPS26,Homo sapiens,COX5A,0.96
Homo sapiens,MRRF,Homo sapiens,COX5A,0.99
Homo sapiens,MTERF3,Homo sapiens,COX5A,1.0
Homo sapiens,MTG2,Homo sapiens,COX5A,1.0
Homo sapiens,MTIF2,Homo sapiens,COX5A,1.0
Homo sapiens,MTRF1,Homo sapiens,COX5A,0.98
Homo sapiens,MTRF1L,Homo sapiens,COX5A,1.0
Homo sapiens,OCIAD1,Homo sapiens,COX5A,1.0
Homo sapiens,OPA1,Homo sapiens,COX5A,1.0
Homo sapiens,PMPCA,Homo sapiens,COX5A,0.98
Homo sapiens,PMPCB,Homo sapiens,COX5A,1.0
Homo sapiens,RMND1,Homo sapiens,COX5A,1.0
Homo sapiens,SLC25A12,Homo sapiens,COX5A,1.0
Homo sapiens,SLC25A51,Homo sapiens,COX5A,1.0
Homo sapiens,SSBP1,Homo sapiens,COX5A,1.0
Homo sapiens,SURF1,Homo sapiens,COX5A,1.0
Homo sapiens,TACO1,Homo sapiens,COX5A,1.0
Homo sapiens,TBRG4,Homo sapiens,COX5A,1.0
Homo sapiens,TEFM,Homo sapiens,COX5A,0.99
Homo sapiens,C19orf52,Homo sapiens,COX5A,1.0
Homo sapiens,TMEM70,Homo sapiens,COX5A,1.0
Homo sapiens,TRUB2,Homo sapiens,COX5A,1.0
Homo sapiens,TSFM,Homo sapiens,COX5A,1.0
Homo sapiens,TUFM,Homo sapiens,COX5A,0.98
Homo sapiens,EXD2,Homo sapiens,COX5A,1.0
Homo sapiens,DNAJA3,Homo sapiens,COX5A,175.0
Homo sapiens,DNAJC30,Homo sapiens,COX5A,1520.0
Homo sapiens,DNAJC4,Homo sapiens,COX5A,390.0
Homo sapiens,HSCB,Homo sapiens,COX5A,35.0
Homo sapiens,COX5A,Homo sapiens,PAF1,19.72434775
Homo sapiens,COX5A,Homo sapiens,ATP1B3,11.82984332
Homo sapiens,VDAC1,Homo sapiens,COX5A,11.5929706
Homo sapiens,COX5A,Homo sapiens,ATP5J,11.36589058
Homo sapiens,COX5A,Homo sapiens,ACACA,11.02823315
Homo sapiens,COX4I1,Homo sapiens,COX5A,445.0
Homo sapiens,CS,Homo sapiens,COX5A,40.0
Homo sapiens,COX5A,Homo sapiens,COX7A2L,0.996455974
Homo sapiens,COX5A,Homo sapiens,COX4I1,0.999996419
Homo sapiens,COX4I2,Homo sapiens,COX5A,0.88893663
Homo sapiens,COX5A,Homo sapiens,SLC30A9,0.991764227
Homo sapiens,SLC30A9,Homo sapiens,COX5A,0.530333149
Homo sapiens,MFSD10,Homo sapiens,COX5A,0.991998306
Homo sapiens,MFSD5,Homo sapiens,COX5A,0.528667567
Homo sapiens,SLC12A9,Homo sapiens,COX5A,0.55955181
Homo sapiens,SLC16A6,Homo sapiens,COX5A,0.428347261
Homo sapiens,SLC19A2,Homo sapiens,COX5A,0.405488332
Homo sapiens,SLC35A3,Homo sapiens,COX5A,0.531295921
Homo sapiens,SLC35B1,Homo sapiens,COX5A,0.923564719
Homo sapiens,SLC35B2,Homo sapiens,COX5A,0.757678207
